modelo,barrio,comercios_barrio,cids_barrio,almacenes_barrio,paquetes,comercios_seleccionados,semilla,total_kms_walk,total_hours_walk,total_kms_drive,total_hours_drive,distance_cost_van,distance_cost_ona,time_cost_van,time_cost_ona,total_cost
M1,AIORA,306,28,118,50,22,1,8.279,1.7931,10.03,0.3561,1.8455,0.0,54.0735,0.0,55.919
M2,AIORA,306,28,118,50,22,1,9.966,2.1241,1.4609,0.0409,0.2688,0.5481,1.0303,29.754,31.6012
M1,AIORA,306,28,118,50,15,2,4.548,0.965,9.759,0.3211,1.7957,0.0,32.3583,0.0,34.1539
M2,AIORA,306,28,118,50,15,2,8.668,1.848,0.7932,0.029,0.1459,0.4767,0.7298,25.8866,27.2391
M1,AIORA,306,28,118,50,20,3,6.979,1.4611,8.985,0.3795,1.6532,0.0,46.3087,0.0,47.9619
M2,AIORA,306,28,118,50,20,3,10.159,2.2042,1.375,0.0477,0.253,0.5587,1.2012,30.8751,32.8881
M1,AIORA,306,28,118,50,18,4,6.142,1.3584,10.811,0.3628,1.9892,0.0,43.3046,0.0,45.2938
M2,AIORA,306,28,118,50,18,4,6.161,1.3414,1.2654,0.0438,0.2328,0.3389,1.103,18.7897,20.4644
M1,AIORA,306,28,118,50,18,5,5.12,1.1311,10.28,0.3742,1.8915,0.0,37.8733,0.0,39.7649
M2,AIORA,306,28,118,50,18,5,6.806,1.4297,0.6044,0.0259,0.1112,0.3743,0.6505,20.0268,21.1628
M1,AIORA,306,28,118,100,37,1,11.633,2.5131,14.393,0.4244,2.6483,0.0,73.9083,0.0,76.5567
M2,AIORA,306,28,118,100,37,1,16.852,3.5942,2.3743,0.1053,0.4369,0.9269,2.6496,50.3455,54.3588
M1,AIORA,306,28,118,100,32,2,9.309,1.9514,8.782,0.4211,1.6159,0.0,59.6913,0.0,61.3071
M2,AIORA,306,28,118,100,32,2,14.512,3.1092,1.1562,0.044,0.2127,0.7982,1.1062,43.5517,45.6688
M1,AIORA,306,28,118,100,33,3,10.681,2.2556,11.319,0.3878,2.0827,0.0,66.5067,0.0,68.5894
M2,AIORA,306,28,118,100,33,3,17.385,3.7208,0.5346,0.0175,0.0984,0.9562,0.4409,52.1198,53.6152
M1,AIORA,306,28,118,100,38,4,12.179,2.6425,12.283,0.435,2.2601,0.0,77.4303,0.0,79.6904
M2,AIORA,306,28,118,100,38,4,11.055,2.4022,0.9264,0.0453,0.1705,0.608,1.1397,33.6493,35.5675
M1,AIORA,306,28,118,100,35,5,9.998,2.2042,16.0,0.545,2.944,0.0,69.169,0.0,72.113
M2,AIORA,306,28,118,100,35,5,12.367,2.6044,0.6682,0.0264,0.1229,0.6802,0.6648,36.4816,37.9495
M1,AIORA,306,28,118,150,52,1,15.876,3.4322,15.177,0.4847,2.7926,0.0,98.5509,0.0,101.3434
M2,AIORA,306,28,118,150,52,1,20.819,4.47,0.544,0.0179,0.1001,1.145,0.4499,62.6135,64.3086
M1,AIORA,306,28,118,150,46,2,14.318,3.0133,16.573,0.5239,3.0494,0.0,88.9955,0.0,92.045
M2,AIORA,306,28,118,150,46,2,23.943,5.1139,0.6868,0.0225,0.1264,1.3169,0.567,71.6327,73.6429
M1,AIORA,306,28,118,150,49,3,14.543,3.105,14.732,0.4725,2.7107,0.0,90.0107,0.0,92.7214
M2,AIORA,306,28,118,150,49,3,20.628,4.4478,1.5647,0.0627,0.2879,1.1345,1.5771,62.3023,65.3018
M1,AIORA,306,28,118,150,49,4,15.974,3.4542,13.729,0.478,2.5261,0.0,98.9354,0.0,101.4615
M2,AIORA,306,28,118,150,49,4,15.517,3.2917,0.8639,0.0382,0.159,0.8534,0.9623,46.1083,48.083
M1,AIORA,306,28,118,150,47,5,12.987,2.847,17.865,0.592,3.2872,0.0,86.5231,0.0,89.8103
M2,AIORA,306,28,118,150,47,5,17.344,3.6375,1.123,0.0418,0.2066,0.9539,1.0513,50.952,53.1639
M1,AIORA,306,28,118,200,67,1,19.277,4.1367,15.088,0.5672,2.7762,0.0,118.3501,0.0,121.1263
M2,AIORA,306,28,118,200,67,1,33.165,7.0992,1.7567,0.068,0.3232,1.8241,1.7108,99.442,103.3001
M1,AIORA,306,28,118,200,62,2,16.654,3.5306,17.964,0.6295,3.3054,0.0,104.6656,0.0,107.971
M2,AIORA,306,28,118,200,62,2,27.569,5.9089,0.7148,0.0227,0.1315,1.5163,0.5703,82.7687,84.9868
M1,AIORA,306,28,118,200,62,3,16.643,3.5931,14.488,0.477,2.6658,0.0,102.402,0.0,105.0678
M2,AIORA,306,28,118,200,62,3,27.757,5.9942,0.6345,0.0254,0.1167,1.5266,0.6379,83.9631,86.2444
M1,AIORA,306,28,118,200,67,4,19.551,4.2428,15.025,0.5367,2.7646,0.0,120.2518,0.0,123.0164
M2,AIORA,306,28,118,200,67,4,22.747,4.7481,0.6226,0.0296,0.1146,1.2511,0.7436,66.5088,68.618
M1,AIORA,306,28,118,200,59,5,16.227,3.5009,16.781,0.5978,3.0877,0.0,103.122,0.0,106.2097
M2,AIORA,306,28,118,200,59,5,23.272,4.8972,0.8918,0.0373,0.1641,1.28,0.9376,68.5978,70.9794
M1,AIORA,306,28,118,250,82,1,23.083,4.9539,15.905,0.5344,2.9265,0.0,138.0873,0.0,141.0138
M2,AIORA,306,28,118,250,82,1,37.903,8.1206,0.7901,0.0288,0.1454,2.0847,0.7251,113.7488,116.7039
M1,AIORA,306,28,118,250,77,2,20.642,4.4222,17.27,0.6403,3.1777,0.0,127.3712,0.0,130.5489
M2,AIORA,306,28,118,250,77,2,31.723,6.7353,1.8389,0.0701,0.3384,1.7448,1.7642,94.3445,98.1918
M1,AIORA,306,28,118,250,73,3,19.859,4.2392,15.169,0.5333,2.7911,0.0,120.0769,0.0,122.868
M2,AIORA,306,28,118,250,73,3,35.397,7.5353,1.2717,0.0417,0.234,1.9468,1.0504,105.5505,108.7817
M1,AIORA,306,28,118,250,77,4,22.424,4.835,16.06,0.5536,2.955,0.0,135.5784,0.0,138.5335
M2,AIORA,306,28,118,250,77,4,24.337,5.1078,1.0488,0.0374,0.193,1.3385,0.9421,71.5475,74.0211
M1,AIORA,306,28,118,250,74,5,20.718,4.4848,17.835,0.5847,3.2816,0.0,127.5486,0.0,130.8303
M2,AIORA,306,28,118,250,74,5,25.766,5.4347,1.0931,0.0393,0.2011,1.4171,0.9876,76.1266,78.7325
M1,AIORA,306,28,118,300,92,1,25.917,5.5806,14.86,0.5539,2.7342,0.0,154.3428,0.0,157.077
M2,AIORA,306,28,118,300,92,1,39.665,8.5761,1.0183,0.0421,0.1874,2.1816,1.0605,120.1302,123.5596
